record_id,ph,temperature_c,water_level_percent,ec_nutrient,label
1,6.47,25.86,80.95,1.56,normal
2,5.84,26.93,81.04,2.11,normal
3,6.48,26.66,67.43,1.58,normal
4,6.01,24.2,75.12,1.69,normal
5,5.9,22.34,72.82,1.86,normal
6,6.71,18.89,43.24,1.03,warning
7,5.37,31.77,21.64,0.56,anomaly
8,5.82,27.27,69.06,2.06,normal
9,6.16,24.37,66.47,2.37,normal
10,6.86,29.05,43.72,1.02,warning
11,6.07,22.17,89.01,1.76,normal
12,6.18,21.13,88.08,1.47,normal
13,7.01,31.68,30.6,0.88,anomaly
14,6.05,20.93,90.21,2.02,normal
15,5.84,22.49,71.38,2.13,normal
16,6.42,23.78,64.19,2.11,normal
17,5.62,30.16,40.48,1.04,warning
18,6.25,22.51,77.8,2.31,normal
19,6.09,26.04,68.01,1.48,normal
20,5.91,27.44,88.28,2.03,normal
21,6.58,19.68,57.03,1.12,warning
22,5.96,23.42,88.63,2.26,normal
23,6.16,23.34,67.77,1.52,normal
24,6.46,22.59,78.16,2.1,normal
25,6.48,27.7,68.81,1.9,normal
26,6.0,20.3,81.33,1.9,normal
27,6.0,27.27,68.38,1.54,normal
28,6.49,21.94,83.52,2.16,normal
29,6.31,22.94,82.13,2.03,normal
30,5.86,26.68,71.23,1.59,normal
31,6.21,25.42,60.58,1.91,normal
32,6.25,21.39,84.18,1.79,normal
33,4.88,32.67,16.0,0.82,anomaly
34,6.72,19.89,57.11,1.25,warning
35,6.04,25.81,91.4,2.29,normal
36,6.54,30.04,40.17,1.04,warning
37,5.8,21.29,79.21,2.09,normal
38,5.96,25.7,68.3,1.73,normal
39,5.65,18.59,46.99,1.1,warning
40,6.48,23.14,91.22,2.03,normal
41,6.73,28.77,45.33,1.01,warning
42,5.92,27.52,93.39,2.31,normal
43,5.81,27.43,74.99,2.37,normal
44,5.3,15.55,13.25,0.77,anomaly
45,7.19,15.61,12.34,0.75,anomaly
46,5.69,29.7,55.38,1.32,warning
47,5.76,28.66,53.34,1.31,warning
48,6.66,18.83,48.85,1.21,warning
49,6.21,20.24,61.31,2.22,normal
50,5.89,24.18,86.95,1.62,normal
51,5.86,20.41,78.6,1.94,normal
52,6.31,27.81,78.07,1.72,normal
53,5.51,28.63,55.88,1.27,warning
54,5.92,21.25,68.76,1.95,normal
55,6.62,18.98,51.62,1.16,warning
56,6.05,26.06,60.5,1.52,normal
57,5.83,26.84,84.63,1.87,normal
58,6.14,23.79,66.06,1.83,normal
59,6.23,25.08,61.59,1.77,normal
60,6.15,26.85,83.05,1.56,normal
61,6.25,20.21,80.5,2.34,normal
62,6.07,25.15,76.04,1.95,normal
63,7.38,31.89,11.12,0.51,anomaly
64,6.28,20.57,71.16,2.24,normal
65,6.37,22.25,64.14,2.1,normal
66,6.41,25.88,88.12,1.68,normal
67,6.33,26.45,94.67,1.81,normal
